scenario,fiscal_year,cash_flow_date,period_class,revenue,gross_margin,gross_profit,sga_percent_revenue,total_selling_and_administrative_expense,derived_operating_income,operating_margin,normalized_tax_rate,nopat,da_percent_revenue,depreciation_and_amortization,capex_percent_revenue,capital_expenditures,operating_nwc_percent_revenue,operating_nwc_proxy,change_in_operating_nwc,fcff,terminal_growth,terminal_value_at_fy2031,discount_exponent,discount_factor,present_value_fcff,present_value_terminal_value,status,source_ids,notes
base,FY2027,2027-05-31,explicit_forecast,45470.040,0.425,19324.767000,0.352,16005.454080,3319.312920,0.073,0.210,2622.257206800,0.016,727.520640,0.015,682.050600,0.111,5047.174440,-459.825560,3127.552806800,,,1,0.9217656575904529353217631347,2882.870769608868802748879153,,forecast_calculated,VS01,Approved Phase 4 operating forecast; discounted at its May 31 fiscal-year-end date.
base,FY2028,2028-05-31,explicit_forecast,46379.440800,0.432,20035.918425600,0.345,16000.907076000,4035.011349600,0.087,0.210,3187.658966184000,0.016,742.071052800,0.016,742.071052800,0.108,5008.979606400,-38.194833600,3225.853799784000,,,2.002739726027397260273972603,0.8494623150806878435740832179,2740.241236876350326749833356,,forecast_calculated,VS01,Approved Phase 4 operating forecast; discounted at its May 31 fiscal-year-end date.
base,FY2029,2029-05-31,explicit_forecast,48002.721228000,0.440,21121.197340320000,0.338,16224.919775064000,4896.277565256000,0.102,0.210,3868.059276552240000,0.016,768.043539648000,0.017,816.046260876000,0.105,5040.285728940000,31.306122540000,3788.750432784240000,,,3.002739726027397260273972603,0.7830051894586587555285906023,2966.611250433799195930588575,,forecast_calculated,VS01,Approved Phase 4 operating forecast; discounted at its May 31 fiscal-year-end date.
base,FY2030,2030-05-31,explicit_forecast,49922.830077120000,0.445,22215.659384318400000,0.332,16574.379585603840000,5641.279798714560000,0.113,0.210,4456.611040984502400000,0.016,798.765281233920000,0.017,848.688111311040000,0.102,5092.128667866240000,51.842938926240000,4354.845271981142400000,,,4.002739726027397260273972603,0.7217472933580977746166520263,3143.097788045698674943819025,,forecast_calculated,VS01,Approved Phase 4 operating forecast; discounted at its May 31 fiscal-year-end date.
base,FY2031,2031-05-31,explicit_forecast,51420.514979433600000,0.448,23036.390710786252800000,0.328,16865.928913254220800000,6170.461797532032000000,0.120,0.210,4874.664820050305280000000,0.016,822.728239670937600000,0.017,874.148754650371200000,0.100,5142.051497943360000000,49.922830077120000000,4773.321474993751680000000,,,5.002739726027397260273972603,0.6652818684763565394135826867,3175.604229722161305335099957,,forecast_calculated,VS01,Approved Phase 4 operating forecast; discounted at its May 31 fiscal-year-end date.
base,FY2032,2032-05-31,terminal_transition,52706.027853919440000000,0.448,23612.300478555909120000000,0.328,17287.577136085576320000000,6324.723342470332800000000,0.120,0.210,4996.531440551562912000000000,0.016,843.296445662711040000000,0.017,896.002473516630480000000,0.100,5270.602785391944000000000,128.551287448584000000000,4815.274125249059472000000000,0.025,80422.86932363971122337006336,5.002739726027397260273972603,0.6652818684763565394135826867,,53503.87677186088336238399110,valuation_calculated,VS01;VS09;VS10;VS11,FY2032 is the explicit stable-state transition. Terminal value is measured at May 31 2031 and discounted using the FY2031 factor.
bull,FY2027,2027-05-31,explicit_forecast,46629.990,0.430,20050.895700,0.348,16227.236520,3823.659180,0.082,0.210,3020.690752200,0.016,746.079840,0.017,792.709830,0.108,5036.038920,-470.961080,3445.021842200,,,1,0.9217656575904529353217631347,3175.502823788956584374577884,,forecast_calculated,VS01,Approved Phase 4 operating forecast; discounted at its May 31 fiscal-year-end date.
bull,FY2028,2028-05-31,explicit_forecast,48495.189600,0.440,21337.883424000,0.340,16488.364464000,4849.518960000,0.100,0.210,3831.119978400000,0.016,775.923033600,0.018,872.913412800,0.104,5043.499718400,7.460798400,3726.668800800000,,,2.002739726027397260273972603,0.8494623150806878435740832179,3165.664707066538721251366692,,forecast_calculated,VS01,Approved Phase 4 operating forecast; discounted at its May 31 fiscal-year-end date.
bull,FY2029,2029-05-31,explicit_forecast,50919.949080000,0.450,22913.977086000000,0.330,16803.583196400000,6110.393889600000,0.120,0.210,4827.211172784000000,0.016,814.719185280000,0.019,967.479032520000,0.100,5091.994908000000,48.495189600000,4625.956135944000000,,,3.002739726027397260273972603,0.7830051894586587555285906023,3622.147660652276697857922730,,forecast_calculated,VS01,Approved Phase 4 operating forecast; discounted at its May 31 fiscal-year-end date.
bull,FY2030,2030-05-31,explicit_forecast,53465.946534000000,0.455,24327.005672970000000,0.322,17216.034783948000000,7110.970889022000000,0.133,0.210,5617.667002327380000000,0.017,908.921091078000000,0.019,1015.852984146000000,0.097,5186.196813798000000,94.201905798000000,5416.533203461380000000,,,4.002739726027397260273972603,0.7217472933580977746166520263,3909.368178982517731341065448,,forecast_calculated,VS01,Approved Phase 4 operating forecast; discounted at its May 31 fiscal-year-end date.
